택시운송업 사업체수,택시운송업 종사자수,한식 일반 음식점업 사업체수,한식 일반 음식점업 종사자수,용달 화물자동차 운송업 사업체수,용달 화물자동차 운송업 종사자수,부동산 중개 및 대리업 사업체수,부동산 중개 및 대리업 종사자수,두발미용업 사업체수,두발미용업 종사자수,커피전문점 사업체수,커피전문점 종사자수,남녀용 겉옷 및 셔츠 도매업 사업체수,남녀용 겉옷 및 셔츠 도매업 종사자수,기타주점업 사업체수,기타주점업 종사자수,일반 교과 학원 사업체수,일반 교과 학원 종사자수,한식 육류요리 전문점 사업체수,한식 육류요리 전문점 종사자수
291,378,14,30,129,129,16,21,25,34,16,37,1,2,3,3,13,39,6,14
207,207,24,77,153,156,33,47,30,54,17,44,4,4,0,0,19,47,2,7
279,622,60,165,176,179,63,78,60,91,68,172,0,0,21,40,43,101,36,112
80,152,45,143,56,56,21,35,22,36,28,75,2,20,9,16,26,94,14,73
109,109,8,26,65,65,16,24,16,31,2,4,0,0,2,2,16,55,2,5
112,210,33,94,72,72,35,55,37,54,31,90,0,0,12,28,158,990,10,41
108,108,22,71,44,44,36,48,36,71,21,79,0,0,6,11,140,775,5,28
113,113,51,163,74,74,22,33,32,56,20,59,0,0,27,63,28,103,30,114
1366,1712,90,272,174,174,60,95,70,105,43,119,4,53,26,44,35,125,47,264
85,194,102,418,55,55,68,114,83,222,67,350,0,0,79,275,23,197,81,329
93,144,51,114,76,76,54,73,66,88,21,56,2,6,23,32,35,112,28,72
58,58,12,27,24,24,16,22,16,25,7,10,1,1,3,8,33,95,5,11
159,159,14,30,69,69,22,31,21,29,9,20,1,1,2,4,36,131,6,23
126,126,5,16,60,60,12,18,11,19,5,21,3,3,1,1,11,22,2,4
165,165,51,103,118,118,42,55,42,51,17,32,2,2,34,50,15,39,19,37
183,183,72,301,67,67,61,103,55,149,26,167,1,1,17,45,46,230,17,58
172,172,24,70,108,108,24,44,38,60,18,81,2,4,9,22,19,42,10,30
284,783,104,314,125,125,74,107,85,116,77,209,5,15,49,110,21,42,69,242
3108,4430,881,2585,1340,1349,1134,1614,947,1443,457,1296,26,74,484,925,551,1793,476,1639
110,110,61,189,275,275,95,126,59,82,40,88,4,13,19,32,26,87,35,139
171,171,70,172,69,69,100,174,67,114,35,94,0,0,37,79,35,90,25,84
102,102,62,185,56,56,70,104,63,89,26,93,0,0,67,169,28,108,52,181
128,128,52,151,64,64,55,73,75,108,33,92,1,1,45,109,65,295,50,160
221,321,19,48,106,106,44,62,50,56,21,64,0,0,8,9,38,110,13,38
107,107,111,334,69,74,134,191,78,117,46,150,6,6,53,103,29,110,53,177
110,110,50,167,74,74,89,125,55,113,37,126,2,12,34,53,34,187,25,114
87,87,24,52,47,47,59,75,30,41,15,27,0,0,11,18,20,45,10,20
187,266,28,113,91,95,63,87,62,78,21,47,0,0,9,13,21,60,29,95
1008,1232,14,36,73,73,32,38,38,46,12,17,0,0,7,13,24,58,8,18
120,734,46,99,63,63,40,46,34,38,14,45,1,2,12,15,14,32,18,51
50,50,28,73,23,23,38,48,14,23,6,17,1,4,19,23,4,14,5,11
173,478,71,377,60,60,97,153,61,177,62,216,1,11,4,7,87,245,37,230
131,131,68,135,70,70,53,81,64,82,12,38,4,9,35,45,22,82,22,42
131,131,100,240,55,55,56,86,75,95,35,79,1,3,51,99,25,66,48,149
272,272,77,214,145,145,109,145,122,184,42,103,5,13,73,138,79,204,46,130
1747,2677,863,2694,802,808,667,956,598,1185,370,1323,22,68,497,1127,361,1268,311,1088
31,31,44,111,31,31,33,42,26,31,18,48,0,0,28,42,24,61,13,44
71,71,45,143,64,64,42,59,40,69,16,55,1,1,17,27,27,72,17,61
69,69,66,129,53,53,28,46,33,43,11,12,0,0,28,52,30,87,17,50
40,40,22,60,29,29,28,38,20,27,6,25,0,0,8,13,26,54,7,22
90,90,36,85,70,70,35,44,39,46,7,23,1,1,16,24,27,47,15,44
127,127,56,179,93,93,31,43,29,35,14,41,1,1,24,53,46,304,18,42
39,39,37,94,27,27,29,36,14,19,7,38,0,0,18,37,8,17,9,25
112,112,61,163,70,70,62,82,55,97,26,57,1,6,31,66,36,131,20,49
